Sr.No,title,rating,Duration (in Min),vote_count,Released_year,popularity,genre,overview
1,Breaking Bad,9.5,49,1819514,2008,95,Crime,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
2,Game of Thrones,9.2,57,2044330,2011,92,Action,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
3,Mirzapur,8.5,60,70705,2018,85,Action,A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.
4,The Boys,8.7,60,462292,2019,87,Action,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
5,Daredevil,8.6,54,432354,2015,86,Action,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
6,The Walking Dead,8.1,44,966812,2010,81,Drama,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
7,Sacred Games,8.5,50,87113,2018,85,Action,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
8,Afsos,7.5,27,3127,2020,75,Comedy,A suicidal man and a deadly assassin encounter the world of immortality in this black comedy suspense thriller.
9,Breathe,8.3,45,19886,2018,83,Crime,This series just asks one question - how far will you go to protect the one you love. Two desperate and driven men must engage in the ultimate cat and mouse game to save the one they love.
10,The Family Man,8.7,45,85465,2019,87,Action,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
11,Chernobyl,9.4,330,730169,2019,94,Drama,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
12,Dexter,8.7,53,719802,2006,87,Crime,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series."
13,Bates Motel,8.1,45,107076,2013,81,Drama,"A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is."
14,Asur: Welcome to Your Dark Side,8.4,43,41093,2020,84,Crime,"A unique crime thriller that pits two opposing worlds against each other. The less explored, intricate world of forensic science and the deep mysticism of ancient Indian Mythology."
15,Fosse/Verdon,7.9,402,6398,2019,79,Biography,"An inside look at the romantic and creative partnership between influential choreographer/director, Bob Fosse, and Gwen Verdon, one of the greatest Broadway dancers of all time."
16,Euphoria,8.4,55,174642,2019,84,Drama,"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence."
17,Killing Eve,8.1,42,117091,2018,81,Action,"After a series of events, the lives of a security operative and an assassin become inextricably linked."
18,Succession,8.8,60,137934,2018,88,Drama,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
19,Kingdom,8.3,45,45633,2019,83,Action,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
20,Six Feet Under,8.7,60,134203,2001,87,Comedy,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.
21,Dark Angel,7.3,60,32858,2000,73,Action,"A group of genetically-enhanced children escape from a lab project. Years later we meet Max, one of the escapees who now works for a messenger service in the post-apocalyptic Pacific Northwest."
22,Doom Patrol,7.8,60,51190,2019,78,Action,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.
23,Swamp Thing,7.4,60,25062,2019,74,Action,"Abby Arcane returns home to Marais, Louisiana to investigate a deadly swamp-borne virus, only to discover the dark, terrifying mysteries of the swamp."
24,Chilling Adventures of Sabrina,7.4,60,93289,2018,74,Drama,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic."
25,The Terror,7.9,60,44612,2018,79,Adventure,"Supernatural, semihistorical, horror anthology series, where each season is inspired by a different infamous or mysterious real life historical tragedy."
26,Channel Zero,7.1,44,10750,2016,71,Crime,"An anthology series based on popular Internet Creepypastas Candle Cove, The No-End House, Butcher's Block, and The Dream Door."
27,Hannibal,8.5,44,252742,2013,85,Crime,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.
28,Dark,8.7,60,369700,2017,87,Crime,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
29,The Haunting of Hill House,8.6,572,235900,2018,86,Drama,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
30,The Originals,8.3,45,134562,2013,83,Drama,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.
31,True Blood,7.9,55,244142,2008,79,Drama,"Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire."
32,Fargo,8.9,53,369012,2014,89,Crime,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
33,A Young Doctor's Notebook & Other Stories,7.8,23,15823,2012,78,Comedy,"In the early 20th century, a young doctor arrives in a small Russian village around the time of the Russian Revolution to work in the local hospital."
34,Fearless,7.5,45,4490,2017,75,Crime,"Emma Banville (Helen McCrory), a human rights lawyer known for defending lost causes, sets out to prove the innocence of Kevin Russell (Sam Swainsbury), who was convicted for the murder of a school girl fourteen years earlier."
35,You,7.7,45,233217,2018,77,Crime,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
36,The Vampire Diaries,7.7,43,317324,2009,77,Drama,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
37,I Am Not Okay with This,7.5,30,60263,2020,75,Comedy,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her."
38,"Love, Death & Robots",8.4,15,163875,2019,84,Animation,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
39,Lucifer,8.1,42,317522,2016,81,Crime,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
40,The Outsider,7.7,60,81060,2020,77,Crime,Investigators are confounded over an unspeakable crime that has been committed.
41,Sense8,8.2,60,153689,2015,82,Drama,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order."
42,Delhi Crime,8.5,50,21484,2019,85,Crime,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime."
43,Arrested Development,8.7,22,302312,2003,87,Comedy,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
44,Wu Assassins,6.4,44,13147,2019,64,Action,A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Francisco's Chinatown.
45,Schitt's Creek,8.5,22,117923,2015,85,Comedy,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues."
46,Barry,8.4,30,79169,2018,84,Action,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
47,Ninjak vs the Valiant Universe,6.6,,380,2018,66,Action,"A British intelligence agent and martial artist with a dark, mysterious alter ego battles his way through the heroes and villains of the Valiant Universe."
48,From Dusk Till Dawn: The Series,6.8,45,20586,2014,68,Action,A Texas Ranger is in hot pursuit of the infamous Gecko brothers and their hostages. They all end up trapped in a desert bar secretly run by vampires and discover a vampire conspiracy.
49,The Hollow Crown,8.2,150,6628,2012,82,Drama,"A mini-series of adaptations of Shakespeare's history plays: Richard II, Henry IV: Parts 1 and 2, and Henry V."
50,American Horror Story,8,60,312173,2011,80,Drama,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley."
51,Mad About You,6.7,22,23547,1992,67,Comedy,Mad About You centers on the trials and tribulations of a married couple living in New York.
52,Murder One,8.2,60,2263,1995,82,Crime,"Theodore Hoffman is a prominent defense attorney in a prestigious Los Angeles law firm. After successfully defending the wealthy but suspicious Richard Cross in a lurid murder trial, he is ...                See full summary »"
53,Rectify,8.3,60,26372,2013,83,Drama,Daniel Holden must put his life back together after serving 19 years on Georgia's Death Row before DNA evidence calls his conviction into question.
54,The Killing,8.3,45,111124,2011,83,Crime,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
55,Black Summer,6.5,40,29706,2019,65,Action,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones."
56,Locke & Key,7.3,48,83366,2020,73,Drama,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death."
57,The Man in the High Castle,7.9,60,100384,2015,79,Drama,"In a dystopian America dominated by Nazi Germany and Imperial Japan, a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes."
58,Carnival Row,7.8,56,61539,2019,78,Crime,"A human detective and a fairy rekindle a dangerous affair in a Victorian fantasy world, where the city's uneasy peace collapses when a string of murders reveals an unimaginable monster."
59,The Expanse,8.5,60,151004,2015,85,Drama,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente."
60,Titans,7.6,45,97980,2018,76,Action,A team of young superheroes combat evil and other perils.
61,The Night Manager,8.1,358,88883,2016,81,Crime,The night manager of a Cairo hotel is recruited to infiltrate an arms dealer's inner circle.
62,Billions,8.4,60,93203,2016,84,Drama,"New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one thing's for certain - wealth means war."
63,Unbelievable,8.4,385,100145,2019,84,Crime,"A teenager is charged with lying about having been raped, but two detectives follow the path to the truth."
64,Unorthodox,8,53,78542,2020,80,Drama,Story of a young ultra-Orthodox Jewish woman who flees her arranged marriage and religious community to start a new life abroad.
65,The Morning Show,8.3,60,98729,2019,83,Drama,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual."
66,I Know This Much Is True,8.1,378,19289,2020,81,Drama,"Following the parallel lives of identical twin brothers Dominick and Thomas Birdsey in a story of betrayal, sacrifice, and forgiveness."
67,Big Little Lies,8.5,60,194922,2017,85,Crime,"The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single mother moves to their quaint Californian beach town."
68,Fear City: New York vs the Mafia,7.1,156,7464,2020,71,Documentary,"Five Mafia families ruled New York with a bloody fist in the 1970s and '80s, until a group of federal agents tried the unthinkable: taking them down."
69,The Blacklist,8,43,244866,2013,80,Crime,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
70,Your Honor,7.6,57,45474,2020,76,Crime,"A judge confronts his convictions when his son is involved in a hit-and-run that embroils an organized-crime family. Facing impossible choices, he discovers how far a father will go to save his son's life."
71,Superman & Lois,7.8,42,31750,2021,78,Action,"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society."
72,Warrior,8.4,60,25993,2019,84,Action,"During the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy from China, immigrates to San Francisco and becomes a hatchet man for the most powerful tong in Chinatown."
73,Safe,7.2,356,43278,2018,72,Crime,"After his teenage daughter goes missing, a widowed surgeon begins uncovering dark secrets of the people closest to him."
74,The Five,7.5,60,11128,2016,75,Crime,"A mystery series created by author Harlan Coben. Jesse, a five-year-old boy, goes missing. Twenty years later, his DNA shows up at a crime scene."
75,The Sinner,7.9,45,119886,2017,79,Crime,Anthology series that examines how and why ordinary people commit brutal crimes.
